40 40
################################
#                              #
#                              #
#                              #
#                              #
#                              #
#                              #
#                              #
#                              #
#                   #          #
#                   #          #
#                   #          #
#                              #
#                   #          #
#                   #          #
#                   #          #
#                   #          #
#                   #          #
#                   #          #
#                              #
#                   #          #
#                   #          #
#                   #          #
#                   #          #
#                   #  #       #
#                   #          #
#                   #          #
#                   #          #
#                   #          #
#                   #          #
#                   #          #
################################


